Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Diameter,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,20.9,15,0.021,0.0082,1,1,0
Aluminum Alloy,35.45,2870,0.26,12.5,16,0.132,0.0011,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.8,5,0.03,0.0071,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.7,6,0.132,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.9,7,0.33,0.0009,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.2,9,0.181,0.0059,0,0,0
Aluminum Alloy,35.45,2870,0.26,15.0,12,0.008,0.0165,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.0,5,0.299,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.5,4,0.206,0.0137,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.6,11,0.09,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.0,2,0.273,0.0153,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.7,12,0.091,0.0153,1,0,0
Aluminum Alloy,35.45,2870,0.26,26.3,18,0.253,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.2,7,0.319,0.0146,1,0,0
Aluminum Alloy,35.45,2870,0.26,13.9,8,0.254,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,15,0.263,0.0061,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.6,1,0.131,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.2,1,0.31,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.6,4,0.259,0.0195,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.4,10,0.205,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.7,8,0.137,0.0151,1,0,0
Aluminum Alloy,35.45,2870,0.26,13.5,1,0.037,0.0095,1,1,0
Aluminum Alloy,35.45,2870,0.26,30.4,2,0.329,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.3,15,0.055,0.0085,1,1,0
Aluminum Alloy,35.45,2870,0.26,30.8,7,0.313,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.5,2,0.272,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.4,0,0.142,0.0141,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,18,0.141,0.0037,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.0,14,0.125,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,27.2,1,0.08,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,10,0.261,0.0084,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.0,8,0.237,0.0152,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.4,17,0.296,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,7,0.104,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,8,0.05,0.0071,1,1,0
Aluminum Alloy,35.45,2870,0.26,24.3,10,0.176,0.0184,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.5,0,0.246,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,18,0.036,0.0097,1,1,0
Aluminum Alloy,35.45,2870,0.26,25.4,12,0.07,0.0094,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.2,1,0.276,0.0008,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.3,3,0.332,0.0111,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.1,2,0.31,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.6,15,0.115,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.6,10,0.329,0.0099,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.4,7,0.044,0.0018,1,1,0
Aluminum Alloy,35.45,2870,0.26,26.3,16,0.154,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.3,0,0.228,0.0201,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.9,14,0.148,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,5,0.169,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.8,17,0.069,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.0,9,0.047,0.0098,1,1,0
Aluminum Alloy,35.45,2870,0.26,3.3,18,0.139,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,2,0.251,0.0041,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.9,10,0.07,0.0157,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,2,0.134,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.9,3,0.093,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,11,0.064,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,11,0.276,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,4,0.255,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.6,14,0.061,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,2,0.087,0.0144,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.5,3,0.321,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.0,12,0.141,0.0064,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.6,5,0.116,0.0061,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.5,6,0.235,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,11,0.102,0.0185,1,0,0
Aluminum Alloy,35.45,2870,0.26,27.0,12,0.249,0.0169,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.3,0,0.127,0.01,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.3,14,0.161,0.0005,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.2,13,0.148,0.0121,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.7,12,0.092,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,9,0.117,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.0,14,0.337,0.0033,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.8,5,0.161,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.2,4,0.027,0.0058,1,1,0
Aluminum Alloy,35.45,2870,0.26,16.4,17,0.023,0.0088,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.9,0,0.115,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,3,0.034,0.0136,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.3,18,0.223,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.6,18,0.105,0.0157,1,0,0
Aluminum Alloy,35.45,2870,0.26,4.3,7,0.156,0.0111,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.2,18,0.23,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.7,0,0.013,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.7,10,0.202,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.1,12,0.013,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.8,11,0.325,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.6,14,0.09,0.0119,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.6,4,0.318,0.0197,1,0,0
Aluminum Alloy,35.45,2870,0.26,13.6,0,0.181,0.0101,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.0,7,0.298,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.3,10,0.327,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.3,9,0.295,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.8,13,0.037,0.009,1,1,0
Aluminum Alloy,35.45,2870,0.26,30.3,5,0.188,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,11,0.173,0.0123,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.8,2,0.004,0.0161,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,5,0.06,0.0009,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.5,8,0.099,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.8,10,0.11,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.1,18,0.119,0.0107,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.1,5,0.157,0.0202,0,0,0
Aluminum Alloy,35.45,2870,0.26,13.4,5,0.298,0.0116,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.7,2,0.164,0.0094,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.8,11,0.203,0.0188,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.7,11,0.289,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.2,8,0.293,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.4,17,0.33,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.6,7,0.163,0.0092,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,11,0.197,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.9,4,0.089,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,17.2,13,0.055,0.0108,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.2,4,0.121,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.7,3,0.261,0.0144,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.6,16,0.018,0.0105,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.3,5,0.011,0.0135,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.3,18,0.046,0.02,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.8,12,0.265,0.0136,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.8,13,0.242,0.0038,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.1,2,0.275,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.5,10,0.18,0.0164,1,0,0
Aluminum Alloy,35.45,2870,0.26,31.0,12,0.246,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.5,2,0.205,0.0104,1,0,0
