Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Angle,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,10.7,38,0.148,0.0146,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,27,0.183,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,40,0.137,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,28,0.094,0.0189,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,35,0.229,0.0117,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,27,0.085,0.0039,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.6,43,0.083,0.0073,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.1,29,0.205,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,34,0.222,0.008,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.1,35,0.175,0.0187,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.8,25,0.074,0.0032,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.0,37,0.073,0.019,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,45,0.089,0.0195,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,29,0.161,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,30,0.08,0.0026,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.9,34,0.036,0.008,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.2,45,0.217,0.0096,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,45,0.199,0.0121,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,30,0.19,0.0006,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,39,0.115,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,44,0.066,0.017,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,25,0.136,0.0049,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,27,0.229,0.0103,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,37,0.163,0.0141,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,45,0.075,0.0118,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.1,42,0.215,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,29,0.206,0.0044,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,29,0.046,0.0087,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.6,42,0.031,0.0164,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,38,0.11,0.0046,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,26,0.116,0.0121,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,41,0.162,0.0144,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,26,0.083,0.0156,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,37,0.085,0.014,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,28,0.15,0.0199,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.5,26,0.034,0.0151,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,25,0.047,0.014,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,27,0.007,0.0128,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.3,30,0.064,0.0042,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.5,44,0.134,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,42,0.164,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,27,0.018,0.016,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,45,0.203,0.0129,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,41,0.055,0.012,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,29,0.058,0.0109,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,32,0.099,0.0147,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.8,35,0.076,0.0157,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.3,28,0.057,0.006,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.9,45,0.186,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,32,0.193,0.0161,1,0,0
