Material Type,Material Hardness Number,Desity,Poissons Ratio,Radius,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,0,0.148,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.108,0.019,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.127,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.063,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.084,0.0197,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.053,0.004,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.076,0.011,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.124,0.0069,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.151,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.185,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.147,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.108,0.0039,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.154,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.053,0.0071,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.004,0.0113,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.069,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.189,0.0049,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.182,0.016,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.164,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.186,0.021,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.098,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.126,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.178,0.0004,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.103,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.115,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.037,0.0005,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.093,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.078,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.184,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.077,0.0004,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.137,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.063,0.0136,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.149,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.167,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.161,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.103,0.0017,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.048,0.0054,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.004,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.139,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.181,0.0166,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.101,0.0078,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.143,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.099,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.037,0.003,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.18,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.089,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.163,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.07,0.0004,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.111,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.139,0.0113,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.118,0.0063,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.167,0.0181,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.155,0.0092,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.07,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.075,0.0199,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.048,0.0162,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.02,0.018,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.09,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.15,0.018,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.177,0.0106,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.158,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.065,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.166,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.112,0.0047,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.183,0.0158,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.038,0.004,1,1,0
Aluminum Alloy,35.45,2870,0.26,6,0.128,0.011,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.015,0.0175,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.054,0.0185,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.163,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.179,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.011,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.149,0.013,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.04,0.0181,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.096,0.0105,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.179,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.031,0.0177,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.029,0.0025,1,1,0
Aluminum Alloy,35.45,2870,0.26,6,0.024,0.0128,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.099,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.077,0.0059,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.05,0.0019,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.126,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.004,0.0065,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.114,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.121,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.093,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.17,0.0017,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.119,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.043,0.0039,1,1,0
Aluminum Alloy,35.45,2870,0.26,1,0.08,0.0181,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.141,0.0022,0,0,0
