Material Type,Material Hardness Number,Desity,Poissons Ratio,Diameter,Depth,Tolerance,Surface finish,drilling,reaming,rough boring,finish boaring
Aluminum Alloy,35.45,2870,0.26,2.8,13,0.126,0.068,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.3,17,0.168,0.043,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,18,0.215,0.0431,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.9,18,0.07,0.0722,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,5,0.166,0.0543,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,9,0.209,0.0617,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,17,0.142,0.061,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,20,0.069,0.0694,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.2,6,0.035,0.0606,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.7,18,0.237,0.0642,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.8,10,0.19,0.0264,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,8,0.138,0.0085,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,1.7,14,0.273,0.0277,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,0,0.214,0.0589,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,17,0.093,0.038,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.5,13,0.095,0.0216,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.2,17,0.065,0.0462,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,8,0.031,0.0762,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,0,0.267,0.0258,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,5,0.135,0.0336,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,6,0.172,0.0535,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,9,0.187,0.0213,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.2,8,0.039,0.059,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.2,7,0.228,0.0406,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.8,15,0.247,0.0439,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,10,0.193,0.0326,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.0,4,0.157,0.0511,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,1,0.087,0.0292,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.6,12,0.279,0.0344,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.8,10,0.159,0.0727,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.5,18,0.055,0.0666,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.6,2,0.245,0.0322,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.6,4,0.138,0.0778,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,19,0.083,0.0729,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,10,0.109,0.0723,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,16,0.22,0.0797,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,2,0.142,0.0373,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.5,17,0.069,0.0209,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.1,7,0.069,0.0721,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,5,0.077,0.0406,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.3,18,0.015,0.0806,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,2,0.049,0.0681,0,0,0,0
