Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Depth,Width,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,85.2,9.1,20.4,0.221,0.0191,1,0,0
Aluminum Alloy,35.45,2870,0.26,36.3,7.3,58.9,0.42,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.4,8.0,39.3,0.533,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,60.4,10.3,65.0,0.275,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,37.5,8.5,98.5,0.153,0.0065,0,0,0
Aluminum Alloy,35.45,2870,0.26,100.3,7.8,27.0,0.303,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,46.7,6.3,76.0,0.438,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.6,9.7,18.8,0.14,0.0145,1,0,0
Aluminum Alloy,35.45,2870,0.26,11.3,7.6,89.3,0.098,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,62.2,9.0,26.6,0.509,0.0134,1,0,0
Aluminum Alloy,35.45,2870,0.26,78.8,10.9,80.4,0.092,0.0084,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.7,9.9,20.1,0.062,0.0028,1,1,0
Aluminum Alloy,35.45,2870,0.26,22.0,8.0,92.2,0.032,0.0092,1,1,0
Aluminum Alloy,35.45,2870,0.26,16.9,8.9,46.8,0.331,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,72.4,7.1,10.3,0.534,0.0035,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.3,8.3,28.3,0.255,0.015,1,0,0
Aluminum Alloy,35.45,2870,0.26,70.2,9.0,67.6,0.531,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,89.4,8.6,81.2,0.493,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,97.3,8.7,10.7,0.041,0.0176,0,0,0
Aluminum Alloy,35.45,2870,0.26,72.1,6.3,45.0,0.277,0.0017,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.7,7.4,25.2,0.258,0.0026,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,9.9,66.8,0.005,0.0123,0,0,0
Aluminum Alloy,35.45,2870,0.26,49.1,8.9,41.6,0.089,0.0195,0,0,0
Aluminum Alloy,35.45,2870,0.26,58.9,10.3,69.9,0.427,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,44.6,7.3,41.6,0.165,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.8,7.1,95.3,0.117,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,31.4,10.7,11.1,0.51,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,64.0,9.9,56.1,0.517,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,99.3,6.4,94.1,0.007,0.0006,1,1,1
Aluminum Alloy,35.45,2870,0.26,13.5,7.7,72.8,0.541,0.0163,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.8,9.0,55.2,0.371,0.0073,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.5,10.8,56.5,0.307,0.019,1,0,0
Aluminum Alloy,35.45,2870,0.26,76.1,10.2,73.9,0.353,0.0065,0,0,0
Aluminum Alloy,35.45,2870,0.26,80.4,9.8,89.0,0.175,0.0026,0,0,0
Aluminum Alloy,35.45,2870,0.26,100.6,8.3,16.3,0.269,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,78.7,8.2,91.0,0.395,0.0073,0,0,0
Aluminum Alloy,35.45,2870,0.26,44.5,8.4,31.3,0.366,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,58.4,10.8,28.0,0.309,0.011,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.1,7.5,94.6,0.031,0.0014,1,1,0
Aluminum Alloy,35.45,2870,0.26,55.7,9.0,37.6,0.372,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.0,6.8,54.1,0.195,0.0096,0,0,0
Aluminum Alloy,35.45,2870,0.26,70.1,6.6,56.4,0.499,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,31.9,8.0,23.7,0.106,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,74.0,6.8,94.0,0.011,0.0164,0,0,0
Aluminum Alloy,35.45,2870,0.26,42.0,6.1,82.2,0.465,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.7,6.9,33.8,0.527,0.0201,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.6,8.8,65.1,0.099,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.4,10.9,86.6,0.065,0.0183,0,0,0
Aluminum Alloy,35.45,2870,0.26,36.5,8.7,10.1,0.461,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,69.9,9.0,20.2,0.022,0.0062,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.9,6.0,68.9,0.026,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.7,10.5,18.0,0.536,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.0,6.3,46.2,0.376,0.0063,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.3,7.5,99.5,0.308,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,14.8,8.3,93.2,0.421,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.3,9.0,88.2,0.24,0.0196,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.0,9.4,25.1,0.212,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,92.4,9.6,22.0,0.188,0.0191,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.1,6.0,71.9,0.374,0.0034,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.0,10.0,24.0,0.519,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,65.0,7.9,63.1,0.245,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.3,10.2,78.5,0.5,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,74.6,8.9,78.2,0.456,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,40.5,6.1,74.2,0.486,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.4,7.3,33.8,0.137,0.0178,1,0,0
Aluminum Alloy,35.45,2870,0.26,73.7,6.2,64.6,0.282,0.0103,1,0,0
Aluminum Alloy,35.45,2870,0.26,27.9,8.8,40.2,0.157,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,55.8,7.4,57.0,0.258,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,43.2,7.0,10.1,0.189,0.0072,0,0,0
Aluminum Alloy,35.45,2870,0.26,86.0,10.3,11.1,0.25,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,35.2,7.2,86.0,0.54,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.2,8.7,13.8,0.188,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.1,8.7,96.2,0.425,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,90.6,10.3,43.1,0.046,0.0119,0,0,0
Aluminum Alloy,35.45,2870,0.26,37.3,9.1,48.0,0.218,0.0035,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.5,7.7,13.7,0.333,0.0069,0,0,0
