Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Depth,Width,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,11.5,12.7,52.6,0.387,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,56.5,3.2,70.6,0.192,0.0172,1,0,0
Aluminum Alloy,35.45,2870,0.26,63.0,5.5,36.3,0.331,0.0042,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.0,13.1,15.2,0.23,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,42.1,1.5,8.9,0.387,0.0042,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.5,6.8,6.2,0.194,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,46.3,20.0,17.0,0.193,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,63.2,9.3,74.9,0.009,0.0187,0,0,0
Aluminum Alloy,35.45,2870,0.26,67.6,20.8,70.3,0.241,0.0061,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.8,0.1,64.2,0.406,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.5,15.5,6.0,0.199,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,72.4,19.0,18.9,0.464,0.0113,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.8,7.8,75.6,0.028,0.0138,0,0,0
Aluminum Alloy,35.45,2870,0.26,43.8,17.2,42.7,0.181,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.9,4.8,53.0,0.084,0.0198,1,0,0
Aluminum Alloy,35.45,2870,0.26,68.9,7.4,77.7,0.12,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,51.3,2.7,24.4,0.429,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,16.9,76.6,0.362,0.0008,0,0,0
Aluminum Alloy,35.45,2870,0.26,46.0,9.8,44.4,0.211,0.0137,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.1,18.5,33.5,0.184,0.0084,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.4,1.7,13.5,0.268,0.0099,0,0,0
Aluminum Alloy,35.45,2870,0.26,13.6,19.9,28.9,0.303,0.008,0,0,0
Aluminum Alloy,35.45,2870,0.26,44.8,0.3,20.4,0.279,0.0128,1,0,0
Aluminum Alloy,35.45,2870,0.26,46.0,11.3,37.5,0.345,0.0125,1,0,0
Aluminum Alloy,35.45,2870,0.26,42.1,13.1,72.2,0.147,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.3,6.5,36.5,0.305,0.0139,1,0,0
Aluminum Alloy,35.45,2870,0.26,41.9,16.0,5.1,0.353,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,76.0,3.9,34.6,0.39,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,44.2,5.5,76.6,0.202,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,41.1,19.5,55.6,0.182,0.0153,1,0,0
Aluminum Alloy,35.45,2870,0.26,59.8,16.1,15.8,0.281,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.5,1.6,80.1,0.362,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,43.5,11.7,31.9,0.155,0.0178,1,0,0
Aluminum Alloy,35.45,2870,0.26,61.6,14.9,7.4,0.012,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,42.4,13.6,27.2,0.023,0.0055,1,1,0
Aluminum Alloy,35.45,2870,0.26,62.5,2.3,79.3,0.353,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,41.8,6.7,39.1,0.138,0.0206,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,0.3,32.6,0.394,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.9,12.8,71.0,0.278,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.0,13.9,61.0,0.385,0.007,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.0,9.6,17.7,0.29,0.0165,1,0,0
